Apple,Apple MacBook Air 13.3,Student,999.95,MacOS,Apple M1,,256,8,2.84,2,13.3,https://www.bestbuy.ca/en-ca/product/apple-macbook-air-13-3-w-touch-id-fall-2020-gold-apple-m1-chip-256gb-ssd-8gb-ram-en/15136911
Apple,Apple MacBook Air 13.6,Student,1199.95,MacOS,Apple M2,,256,8,2.73,2,13.6,https://www.bestbuy.ca/en-ca/product/apple-macbook-air-13-6-w-touch-id-2022-midnight-apple-m2-chip-256gb-ssd-8gb-ram-english/16282196
Apple,Apple 2024 MacBook Air 13-inch,Student,1449.00,MacOS,Apple M3,,256,8,2.7,2,13.6,https://www.amazon.ca/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX22ZW1T
Apple,"Apple 14"" MacBook Pro MRX33LL/A",Professional,2699.99,MacOS,Apple M3 Pro,,512,18,3.5,3,14,https://www.staples.ca/products/3042742-en-apple-14-macbook-pro-m3-pro-18-gb-512-gb-ssd-space-black-english
Apple,"Apple 16"" MacBook Pro MX2X3LL/A",Professional,3299.00,MacOS,Apple M4 Pro,,512,24,3.5,3,16,https://www.staples.ca/products/3095865-en-apple-16-macbook-pro-m4-pro-chip-512-gb-ssd-24-gb-unified-memory-space-black-english
HP,"HP 14"" ProBook 445 G10 Laptop",Professional,1649.99,Windows 11 Pro,AMD Ryzen 7 7730U,AMD Radeon Graphics,1024,32,3.05,4,14,https://www.staples.ca/products/3070413-en-hp-14-probook-445-g10-laptop-amd-ryzen-7-7730u-32gb-ram-1tb-ssd-windows-11-pro-english
HP,"HP 15.6"" Laptop 15-FD1007CA",Professional,949.99,Windows 11 Home,Intel Core 5 120U,Integrated Intel graphics,512,32,3.65,3,15,https://www.staples.ca/products/3087165-en-hp-156-laptop-intel-5-120u-512-gb-ssd-16-gb-ram-windows-11-home?listId=search
HP,"HP 15.6"" Laptop 7Z5F2UTABL",Professional,2249.99,Windows 11 Pro,Intel Core i7-1355U,Intel Iris Xe Graphics,512,16,3.94,3,15,https://www.staples.ca/products/3070347-en-hp-156touch-elitebook-650-g10-laptop-intel-core-i7-1355u-512gb-ssd-16gb-ram-iris-x-win11-pro-bilingual?listId=search
HP,HP Eb840G10 Laptop,Student,2299.99,Windows 11 Pro,Intel Core i5-1335U,Intel Iris Xe Graphics,512,16,3.01,2,14,https://www.staples.ca/products/3083874-en-hp-eb840g10-laptop-i5-1335u-14-512-gb-16-gb-ram-us-english?listId=search
HP,"HP 250 G8 15.6"" FHD Laptop",Student,949.99,Windows 10 Home,Intel Core i3-1005G1,Intel UHD Graphics,256,8,3.84,3,15.6,https://www.staples.ca/products/3016054-en-hp-250-g8-156-fhd-laptop-intel-core-i3-1005g1-8gb-ddr4-256-gb-ssd-intel-uhd-graphics-windows-10-home?listId=search
Dell,Latitude 5350 2-in-1,Student,2149.00,Windows 11 Pro,Intel Core Ultra 5 135U vPro,Integrated Intel graphics,512,16,1.35,2,13.3,https://www.dell.com/en-ca/shop/laptops-ultrabooks/latitude-5350-2-in-1/spd/latitude-13-5350-2-in-1-laptop/s008l53502n1cavp
Dell,Dell - Inspiron 15.6,Student,1099.99,Windows 11 Pro,Intel Core Ultra 5 135U vPro,Integrated Intel graphics,512,16,3.66,3,15.6,https://www.dell.com/en-ca/shop/laptops-ultrabooks/inspiron-15-laptop/spd/inspiron-15-3520-laptop/ni153520_ps251009e
Dell,Latitude 7350 Detachable,Student,3239.00,Windows 11 Pro,Intel Core Ultra 7 164U,Integrated Intel graphics,512,32,1.297,2,0.79,https://www.dell.com/en-ca/shop/laptops-ultrabooks/latitude-7350-detachable/spd/latitude-13-7350-detachable-laptop/s005l7350dtblcavp
Dell,Inspiron 15 Laptop,Student,849.99,Windows 11 Home,Intel Core i7-1355U,Intel Iris Xe Graphics,512,16,1.62,3,15.6,https://www.dell.com/en-ca/shop/laptops/intel/spd/inspiron-15-3530-laptop/caeichbts3530grxd
Dell,Latitude 3550 Laptop,Student,969.00,Windows 11 Pro,Intel Core i3-1315U,Intel Iris Xe Graphics,256,8,1.81,4,15.6,https://www.dell.com/en-ca/shop/laptops-ultrabooks/latitude-3550-laptop/spd/latitude-15-3550-laptop/s012l3550cavp?ref=variantstack
Dell,XSP 15 Laptop,Student,1799.99,Windows 11 Pro,Intel Core i7-13620H,Intel Iris Xe Graphics,512,16,2.61,1,1.92,https://www.dell.com/en-ca/shop/laptops-ultrabooks/xps-15-laptop/spd/xps-15-9530-laptop/caexcpbts9530gvgy?ref=variantstack
HP,"HP 15.6"" Laptop - Natural Silver",Student,999.99,Windows 11,Intel Core Ultra 5 125H,Integrated Intel graphics,1024,16,3.64,2,15.6,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-natural-silver-intel-core-ultra-5-125h-1tb-ssd-16gb-ram-windows-11-home/17907962?source=search&adSlot=2&slotPos=2
